,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,HOUSE_PRICE
95228,006-436-188,STRATA,770252470001,77025247,C-2,Commercial,1,,VAS1329,393,,2139.0,KINGSWAY,V5N 2T4,LOT 1  PLAN VAS1329  DISTRICT LOT 3,93  NEW WESTMINSTER UNDIV 1940/1611,1 SHARE IN COM PROP THEREIN.,,,874000.0,117000.0,2020.0,761000.0,126000.0,1983.0,1983.0,,23,0.991
150307,017-746-914,STRATA,650124070015,65012407,C-3A,Commercial,15,,LMS328,526,601,1590.0,8TH AVE W,V6J 4R8,LOT 15  PLAN LMS328  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1006/7471,6 SHARE IN COM PROP THEREIN.,,,536000.0,445000.0,2020.0,602000.0,456000.0,1992.0,1992.0,,7,0.981
211407,013-958-844,LAND,263750480000,26375048,RS-1,One Family Dwelling,13,,VAP2208,720,,5768.0,BERKELEY ST,V5R 3H2,LOT 13  PLAN VAP2208  DISTRICT LOT ,720  NEW WESTMINSTER,,,,1174000.0,177000.0,2020.0,1339000.0,178000.0,1985.0,1985.0,,24,1.351
161770,023-248-262,STRATA,138608980110,13860898,DD,Comprehensive Development,110,,LMS2174,541,1503,1188.0,RICHARDS ST,V6B 3E6,LOT 110  PLAN LMS2174  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 824/119,822 SHARE IN COM PROP THEREIN.,,,581000.0,223000.0,2020.0,666000.0,226000.0,1995.0,1995.0,,29,0.804
184040,025-190-776,STRATA,90722020073,9072202,CD-1 (22),Comprehensive Development,73,,LMS4540,526,1415,4655.0,VALLEY DR,V6J 5L6,LOT 73  PLAN LMS4540  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 70/10532, SHARE IN COM PROP THEREIN.,,,559000.0,132000.0,2020.0,606000.0,134000.0,2001.0,2001.0,,4,0.691
7194,010-667-580,LAND,752179540000,75217954,RS-1,One Family Dwelling,7,1043,VAP7322,526,,148.0,42ND AVE W,V5Y 2T1,LOT 7  BLOCK 1043  PLAN VAP7322  DI,STRICT LOT 526  NEW WESTMINSTER,,,,2114000.0,617000.0,2020.0,2568000.0,625000.0,2001.0,2002.0,,11,2.731
138585,015-416-291,LAND,665210160000,66521016,RT-5,Two Family Dwelling,3,157,VAP348,264A,,716.0,11TH AVE E,V5T 2E5,LOT 3  BLOCK 157  PLAN VAP348  DIST,"RICT LOT 264A  NWD OF LOT E, & PL 1",771.,,,1390000.0,133000.0,2020.0,1570000.0,121000.0,1908.0,1965.0,,13,1.523
29012,027-733-777,STRATA,167604540048,16760454,CD-1 (422),Comprehensive Development,48,,BCS3202,FC,1006,918.0,COOPERAGE WAY,V6B 0A7,LOT 48  PLAN BCS3202  DISTRICT LOT ,FC  NWD TOGETHER WITH AN INTEREST I,N THE COMMON PROPERTY IN PROPORTION, TO THE UNIT ENTITLEMENT OF THE STR,ATA LOT AS SHOWN ON FORM V.,1172000.0,434000.0,2020.0,1326000.0,438000.0,2008.0,2008.0,,30,1.606
20949,004-939-212,LAND,750213410000,75021341,RS-1,One Family Dwelling,12,12,VAP1378,666,,941.0,41ST AVE E,V5W 1P8,LOT 12  BLOCK 12  PLAN VAP1378  DIS,"TRICT LOT 666  NWD OF LOT 3, EXCEPT"," SOUTH 17' NOW ROAD, TO BLOCK 21.",,,1041000.0,60600.0,2020.0,1182000.0,56600.0,1929.0,1970.0,,16,1.1016
154363,010-897-259,LAND,793216940000,79321694,RS-1,One Family Dwelling,60,,VAP6403,660,,6707.0,ROSS ST,V5X 4B4,LOT 60  PLAN VAP6403  DISTRICT LOT ,660  NEW WESTMINSTER,,,,1430000.0,153000.0,2020.0,1638000.0,155000.0,1980.0,1980.0,,17,1.583
6671,011-951-010,LAND,690030250000,69003025,RS-1,One Family Dwelling,16,166,VAP4041,540,,4073.0,16TH AVE W,V6R 3E2,LOT 16  BLOCK 166  PLAN VAP4041  DI,STRICT LOT 540  NWD OF LOT 4.,,,,1568000.0,34500.0,2020.0,1876000.0,30300.0,1943.0,1943.0,,1,1.6025
69671,024-128-643,STRATA,665212930001,66521293,RT-5,Two Family Dwelling,1,,LMS3202,264A,,891.0,11TH AVE E,V5T 2E7,LOT 1  PLAN LMS3202  DISTRICT LOT 2,"64A  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,1274000.0,328000.0,2020.0,1338000.0,310000.0,1998.0,1998.0,,13,1.602
109927,011-295-716,LAND,633267960000,63326796,RS-1,One Family Dwelling,8,149,VAP1140,264A,,2376.0,3RD AVE E,V5N 1J2,LOT 8  BLOCK 149  PLAN 1140  DISTRI,CT LOT 264A  NWD OF LOT A & PL 1771,.,,,1092000.0,343000.0,2020.0,1273000.0,332000.0,1998.0,1998.0,,14,1.435
67704,005-273-935,LAND,815226480000,81522648,RS-1,One Family Dwelling,30,3,VAP3255,200,,1348.0,60TH AVE E,V5X 2A9,LOT 30  BLOCK 3  PLAN VAP3255  DIST,RICT LOT 200  NWD GROUP 1.,,,,1030000.0,59200.0,2020.0,1193000.0,60300.0,1966.0,1970.0,,17,1.0892
107007,002-994-399,STRATA,150694080005,15069408,RM-3A,Multiple Family Dwelling,5,,VAS1450,472,105,998.0,19TH AVE W,V5Z 1X5,LOT 5  PLAN VAS1450  DISTRICT LOT 4,72  NEW WESTMINSTER UNDIV 579/16586, SHARE IN COM PROP THEREIN.,,,364000.0,65200.0,2020.0,396000.0,68600.0,1984.0,1984.0,,9,0.4292
160850,025-886-983,STRATA,648230590001,64823059,RM-4,Multiple Family Dwelling,1,,BCS719,264A,,1357.0,8TH AVE E,V5N 1T1,LOT 1  PLAN BCS719  DISTRICT LOT 26,4A  NWD UNDIV 108/220 SHARE IN COM ,PROP THEREIN TOGETHER WITH AN INTER,EST IN THE COMMON PROPERTY IN PROPO,RTION TO THE UNIT ENTITLEMENT OF TH,961000.0,195000.0,2020.0,1033000.0,182000.0,2004.0,2004.0,,14,1.156
185695,019-181-744,STRATA,156602080137,15660208,DD,Comprehensive Development,137,,LMS1863,541,1103,838.0,HAMILTON ST,V6B 6A2,LOT 137  PLAN LMS1863  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 409/127,484 SHARE IN COM PROP THEREIN.,,,88800.0,112000.0,2020.0,51000.0,113000.0,1995.0,1995.0,,29,0.2008
197621,029-685-958,STRATA,40745470017,4074547,C-2,Commercial,17,4,EPS3033,320,301,5555.0,DUNBAR ST,V6N 1W5,LOT 17  BLOCK 4  PLAN EPS3033  DIST,"RICT LOT 320  NWD GROUP 1, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,523000.0,271000.0,2020.0,578000.0,274000.0,2015.0,2015.0,,3,0.794
70284,019-062-460,STRATA,120606920180,12060692,CD-1 (386),Comprehensive Development,180,,LMS1689,541,1815,1088.0,BURRARD ST,V6Z 2R9,LOT 180  PLAN LMS1689  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 469/216,465 SHARE IN COM PROP THEREIN.,,,198000.0,90300.0,2020.0,183000.0,92100.0,1994.0,1994.0,,26,0.2883
32941,014-150-247,LAND,757188580000,75718858,RS-1,One Family Dwelling,26,5,VAP1936,644,,158.0,44TH AVE E,V5W 1V6,LOT 26  BLOCK 5  PLAN VAP1936  DIST,RICT LOT 644  NEW WESTMINSTER,,,,1459000.0,33000.0,2020.0,1688000.0,27100.0,1948.0,1948.0,,16,1.492
207044,011-021-632,LAND,148717730000,14871773,RS-5,One Family Dwelling,10,734,VAP6011,526,,4469.0,OSLER ST,V6H 2X8,LOT 10  BLOCK 734  PLAN VAP6011  DI,STRICT LOT 526  NEW WESTMINSTER,,,,2772000.0,84500.0,2020.0,3570000.0,80300.0,1926.0,1965.0,,8,2.8565
70839,013-160-851,LAND,752040610000,75204061,RS-5,One Family Dwelling,36,8,VAP3110,2027,,3539.0,42ND AVE W,V6N 3H5,LOT 36  BLOCK 8  PLAN VAP3110  DIST,RICT LOT 2027  NWD OF LOT 7.,,,,1589000.0,54300.0,2020.0,2076000.0,59000.0,1930.0,1965.0,,3,1.6433
2803,026-461-251,STRATA,175592940112,17559294,CD-1 (379),Comprehensive Development,112,17,BCS1559,541,1005,550.0,TAYLOR ST,V6B 1R1,LOT 112  BLOCK 17  PLAN BCS1559  DI,STRICT LOT 541  NEW WESTMINSTER GRO,UP 1.,,,367000.0,172000.0,2020.0,396000.0,174000.0,2005.0,2005.0,,26,0.539
145117,027-537-340,STRATA,592118060013,59211806,DD,Comprehensive Development,13,,BCS2936,185,801,1188.0,PENDER ST W,V6E 0A2,LOT 13  PLAN BCS2936  DISTRICT LOT ,185  NWD GROUP 1.,,,,547000.0,404000.0,2020.0,771000.0,408000.0,2008.0,2008.0,,26,0.951
161445,010-725-717,LAND,312765510000,31276551,RS-1,One Family Dwelling,12,5,VAP7169,338,,6345.0,TYNE ST,V5S 3L7,LOT 12  BLOCK 5  PLAN VAP7169  DIST,RICT LOT 338  NWD PART NE 1/4.,,,,1283000.0,57600.0,2020.0,1566000.0,58700.0,1948.0,1965.0,,24,1.3406
102017,014-826-925,LAND,221730490000,22173049,RS-1,One Family Dwelling,31,13,VAP1369,,,5023.0,ROSS ST,V5W 3K6,LOT 31  BLOCK 13  PLAN VAP1369  NEW, WESTMINSTER DISTRICT LOT 668 TO 67,0.,,,1046000.0,40100.0,2020.0,1237000.0,41100.0,1910.0,1970.0,,19,1.0861
60581,013-703-056,LAND,156816170000,15681617,RS-1,One Family Dwelling,20,A,VAP2505,319,,7733.0,HEATHER ST,V6P 3R3,LOT 20  BLOCK A  PLAN VAP2505  DIST,"RICT LOT 319  NWD OF LOTS 27 TO 31,", & DL 323 AND 324.,,,1494000.0,249000.0,2020.0,1735000.0,246000.0,1992.0,1993.0,,12,1.743
189697,023-351-381,STRATA,770270320019,77027032,C-2,Commercial,19,,LMS2320,393,304,2388.0,KINGSWAY,V5R 5G9,LOT 19  PLAN LMS2320  DISTRICT LOT ,393  NEW WESTMINSTER UNDIV 84/3043 ,SHARE IN COM PROP THEREIN.,,,256000.0,196000.0,2020.0,276000.0,213000.0,1996.0,1996.0,,23,0.452
103076,017-031-834,STRATA,830130950003,83013095,RM-3A,Multiple Family Dwelling,3,,VAS2853,324,103,1445.0,70TH AVE W,V6P 2Z3,LOT 3  PLAN VAS2853  DISTRICT LOT 3,24  NEW WESTMINSTER SUBURBAN BLOCK ,"B, UNDIV 458/6353 SHARE IN COM PROP", THEREIN.,,255000.0,109000.0,2020.0,288000.0,115000.0,1991.0,1991.0,,12,0.364
42859,028-222-822,STRATA,690165980012,69016598,RM-4,Multiple Family Dwelling,12,,BCS3829,472,203,526.0,16TH AVE W,V5Z 1S4,LOT 12  PLAN BCS3829  DISTRICT LOT ,"472  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,520000.0,169000.0,2020.0,577000.0,169000.0,2010.0,2010.0,,9,0.689
63671,024-811-416,STRATA,45650440003,4565044,C-2C1,Commercial,3,,LMS4217,540,201,2522.0,WATERLOO ST,V6R 3H5,LOT 3  PLAN LMS4217  DISTRICT LOT 5,40  NEW WESTMINSTER UNDIV 810/4428 ,SHARE IN COMM PROP THEREIN.,,,566000.0,160000.0,2020.0,616000.0,163000.0,2000.0,2000.0,,2,0.726
207309,012-857-131,LAND,234683250000,23468325,RT-5,Two Family Dwelling,D,B,VAP3464,264A,,2925.0,WOODLAND DR,V5N 3R2,LOT D  BLOCK B  PLAN VAP3464  DISTR,"ICT LOT 264A  NWD GROUP 1, OF LOTS ","36 TO 38, OF BLK 171.",,,1235000.0,137000.0,2020.0,1401000.0,129000.0,1912.0,1965.0,,14,1.372
24603,024-237-345,STRATA,648171720001,64817172,I-1,Light Industrial,1,,LMS3451,302,,338.0,8TH AVE W,V5Y 3X2,"STRATA LOT 1, PLAN LMS3451, DISTRIC","T LOT 302, GROUP 1, NEW WESTMINSTER"," LAND DISTRICT, TOGETHER WITH AN IN",TEREST IN THE COMMON PROPERTY IN PR,OPORTION TO THE UNIT ENTITLEMENT OF,27100.0,2800.0,2020.0,26700.0,3200.0,1998.0,1998.0,,13,0.0299
34951,024-774-065,STRATA,124606980147,12460698,DD,Comprehensive Development,147,,LMS4157,541,2005,1068.0,HORNBY ST,V6Z 2Y7,LOT 147  PLAN LMS4157  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 70/1441,6 SHARE IN COM PROP THEREIN.,,,456000.0,264000.0,2020.0,531000.0,267000.0,2000.0,2000.0,,29,0.72
51370,029-257-191,STRATA,129614950150,12961495,CD-1 (503),Comprehensive Development,150,,EPS1290,541,2207,1351.0,CONTINENTAL ST,V6Z 0C6,LOT 150  PLAN EPS1290  DISTRICT LOT," 541  NWD GROUP 1, TOGETHER WITH AN", INTEREST IN THE COMMON PROPERTY IN, PROPORTION TO THE UNIT ENTITLEMENT, OF THE STRATA LOT AS SHOWN ON FORM,710000.0,413000.0,2020.0,772000.0,416000.0,2013.0,2013.0,,29,1.123
197106,015-761-479,LAND,607114470000,60711447,RM-5,Multiple Family Dwelling,13,47,VAP92,185,,1539.0,COMOX ST,V6G 1P3,LOT 13  BLOCK 47  PLAN VAP92  DISTR,ICT LOT 185  NEW WESTMINSTER,,,,6484000.0,8643000.0,2020.0,8429000.0,4177000.0,1910.0,2019.0,,27,15.127
53554,008-426-783,LAND,712034340000,71203434,RS-5,One Family Dwelling,J,81,VAP5743,2027,,3858.0,26TH AVE W,V6S 1P4,LOT J  BLOCK 81  PLAN VAP5743  DIST,RICT LOT 2027  NEW WESTMINSTER,,,,2805000.0,610000.0,2020.0,3464000.0,605000.0,1996.0,1996.0,,3,3.415
144892,026-314-231,STRATA,722314910054,72231491,CD-1 (314),Comprehensive Development,54,,BCS1342,36,405,3575.0,EUCLID AVE,V5R 6H5,LOT 54  PLAN BCS1342  DISTRICT LOT ,36  NEW WESTMINSTER GROUP 1.,,,,308000.0,89700.0,2020.0,349000.0,90600.0,2005.0,2005.0,,23,0.3977
207475,004-028-104,LAND,237701560000,23770156,RM-1,Multiple Family Dwelling,6,8,VAP3062,352,,4058.0,PERRY ST,V5N 3X3,LOT 6  BLOCK 8  PLAN VAP3062  DISTR,ICT LOT 352  NWD OF LOT A.,,,,1277000.0,39500.0,2020.0,1566000.0,45000.0,1910.0,1970.0,,15,1.3165
149469,028-175-956,STRATA,148826150002,14882615,RT-2,Two Family Dwelling,2,,BCS3759,319,,8335.0,OSLER ST,V6P 4E5,LOT 2  PLAN BCS3759  DISTRICT LOT 3,"19  NWD GROUP 1, & DL 323 & 324, TO",GETHER WITH AN INTEREST IN THE COMM,ON PROPERTY IN PROPORTION TO THE UN,IT ENTITLEMENT OF THE STRATA LOT AS,875000.0,299000.0,2020.0,1025000.0,277000.0,2009.0,2010.0,,12,1.174
114245,003-361-811,LAND,812197190000,81219719,RS-1,One Family Dwelling,43,3,VAP1790,657,,435.0,58TH AVE E,V5X 1W1,LOT 43  BLOCK 3  PLAN VAP1790  DIST,"RICT LOT 657  NWD PART E 1/2, TO BL",K 7.,,,1232000.0,83300.0,2020.0,1522000.0,85100.0,1970.0,1970.0,,17,1.3153
167949,014-029-472,LAND,291722640000,29172264,RS-1,One Family Dwelling,26,96,VAP2108,37,,5078.0,MANOR ST,V5R 3Y3,LOT 26  BLOCK 96  PLAN VAP2108  DIS,"TRICT LOT 37  NWD & BLKS 99, 100.",,,,945000.0,55900.0,2020.0,1112000.0,57100.0,1970.0,1970.0,,23,1.0009
46866,023-531-029,STRATA,78750090052,7875009,C-2,Commercial,52,,LMS2532,526,PH7,5723.0,BALSAM ST,V6M 4B8,LOT 52  PLAN LMS2532  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 949/4679,7 SHARE IN COM PROP THEREIN.,,,515000.0,151000.0,2020.0,632000.0,154000.0,1996.0,1996.0,,5,0.666
187024,016-884-906,STRATA,684163910014,68416391,RM-4,Multiple Family Dwelling,14,,VAS2820,526,W302,639.0,14TH AVE W,V5Z 1P7,LOT 14  PLAN VAS2820  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 843/1882,9 SHARE IN COM PROP THEREIN PHASE 1,.,,537000.0,146000.0,2020.0,590000.0,151000.0,1991.0,1991.0,,7,0.683
79226,015-269-361,LAND,190713350000,19071335,C-2,Commercial,1,7,VAP476,632,,4331.0,MAIN ST,V5V 3R1,LOT 1  BLOCK 7  PLAN VAP476  DISTRI,"CT LOT 632  NWD PART W 1/2, EXCEPT ",THE WEST 20 FEET NOW LANE AND PART ,"IN PLAN 4411, LOT 2, BLOCK 7, PLAN ","VAP476, PART W 1/2, DISTRICT LOT 63",4858000.0,121100.0,2020.0,5721000.0,19700.0,1970.0,1970.0,,16,4.9791
146610,013-206-681,LAND,184817340000,18481734,RS-1,One Family Dwelling,3,4,VAP3065,322,,7736.0,ONTARIO ST,V5X 3C7,LOT 3  BLOCK 4  PLAN VAP3065  DISTR,"ICT LOT 322  NWD GROUP 1, OF LOT 3.",,,,1303000.0,75100.0,2020.0,1563000.0,76000.0,1974.0,1975.0,,17,1.3781
7417,018-244-017,STRATA,580259570007,58025957,RM-3A,Multiple Family Dwelling,7,,LMS858,184,107,2133.0,DUNDAS ST,V5L 1J7,LOT 7  PLAN LMS858  DISTRICT LOT 18,4  NEW WESTMINSTER UNDIV 207/10000 ,SHARE IN COM PROP THEREIN.,,,266000.0,102000.0,2020.0,240000.0,105000.0,1993.0,1993.0,,14,0.368
24182,025-852-540,STRATA,250790070003,25079007,C-2,Commercial,3,1,BCS681,735,208,1988.0,49TH AVE E,V5P 1T3,LOT 3  BLOCK 1  PLAN BCS681  DISTRI,CT LOT 735  NEW WESTMINSTER UNDIV 7,6/2050 SHARE IN COM PROP THEREIN.,,,311000.0,191000.0,2020.0,335000.0,193000.0,2004.0,2004.0,,17,0.502
133537,023-092-378,STRATA,650073630058,65007363,C-2C1,Commercial,58,,LMS1992,526,248,2565.0,BROADWAY W,V6K 2E9,LOT 58  PLAN LMS1992  DISTRICT LOT ,"526  NEW WESTMINSTER GROUP 1, UNDIV", 447/74674 SHARE IN COM PROP THEREI,N.,,327000.0,73900.0,2020.0,296000.0,75900.0,1995.0,1995.0,,2,0.4009
107941,004-756-738,LAND,716300310000,71630031,RS-1,One Family Dwelling,9,37&38,VAP1735,36&51,,3249.0,QUEENS AVE,V5R 4T7,LOT 9  BLOCK 37&38  PLAN VAP1735  D,ISTRICT LOT 36&51  NEW WESTMINSTER ,EXCEPT PLAN LMP31920.,,,1181000.0,182000.0,2020.0,1365000.0,183000.0,1986.0,1986.0,,23,1.363
72009,023-917-539,STRATA,583110020097,58311002,CD-1 (321),Comprehensive Development,97,,LMS2965,185,804,1710.0,BAYSHORE DR,V6G 3G4,LOT 97  PLAN LMS2965  DISTRICT LOT ,"185  NEW WESTMINSTER GROUP 1, UNDIV", 865/183862 SHARE IN COM PROP THERE,IN.,,798000.0,290000.0,2020.0,960000.0,294000.0,1997.0,1997.0,,28,1.088
151258,008-834-661,LAND,270601020000,27060102,RS-1,One Family Dwelling,1,5,VAP1946,THSL,,2418.0,PARKER ST,V5K 2T1,LOT 1  BLOCK 5  SECTION 22  PLAN VA,P1946  DISTRICT LOT THSL  NWD PART ,W 1/2.,,,1043000.0,149000.0,2020.0,1186000.0,149000.0,1989.0,1989.0,,20,1.192
124627,029-606-764,LAND,213730150000,21373015,RS-1,One Family Dwelling,A,5,EPP52192,668,,4961.0,ST. CATHERINES ST,V5W 3E9,LOT A  BLOCK 5  PLAN EPP52192  DIST,"RICT LOT 668  NWD GROUP 1, TO DL 67",0.,,,1024000.0,28900.0,2020.0,1182000.0,29200.0,1912.0,1965.0,,16,1.0529
98043,005-545-731,STRATA,605117320035,60511732,RM-5B,Multiple Family Dwelling,35,,VAS609,185,311,1274.0,BARCLAY ST,V6E 1H3,LOT 35  PLAN VAS609  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 1781/1000,00 SHARE IN COMM PROP THEREIN.,,,432000.0,54900.0,2020.0,468000.0,59000.0,1979.0,1979.0,,27,0.4869
19124,011-324-309,LAND,790179950000,79017995,RS-1,One Family Dwelling,11,1163,VAP4757,526,,105.0,49TH AVE W,V5Y 2Z7,LOT 11  BLOCK 1163  PLAN VAP4757  D,ISTRICT LOT 526  NWD AMENDED (SEE 2,63237L).,,,4918000.0,10000.0,2020.0,4477000.0,33800.0,1951.0,1951.0,,11,4.928
